rating,review_text,device,true_label,vader_compound,vader_label,vader_pred_rating,bert_label,bert_score,bert_pred_rating,wc_score,wc_label,wc_pred_rating
4,"6,583 Reviews 1,63,435 24,703",iPhone 16,Positive,0.0,Neutral,3.0,Positive,0.9407995343208313,4.763198137283325,0.0,Neutral,3.0
5,Super and cool photo,iPhone 16,Positive,0.7351,Positive,4.4702,Positive,0.9998801946640015,4.999520778656006,1.0,Positive,5.0
5,Such an great experience,iPhone 16,Positive,0.6249,Positive,4.2498000000000005,Positive,0.9998594522476196,4.9994378089904785,1.0,Positive,5.0
5,with unbeatable video performance. Tip-top performance A18 Chip. best value offering.,iPhone 16,Positive,0.765,Positive,4.53,Positive,0.9973549842834473,4.989419937133789,1.0,Positive,5.0
5,such a beautiful color,iPhone 16,Positive,0.5994,Positive,4.1988,Positive,0.9998795986175537,4.999518394470215,1.0,Positive,5.0
5,Doing good as of now!,iPhone 16,Positive,0.4926,Positive,3.9852,Positive,0.9998487234115601,4.99939489364624,1.0,Positive,5.0
5,Value for money,iPhone 16,Positive,0.34,Positive,3.68,Positive,0.9977725148200989,4.9910900592803955,0.0,Neutral,3.0
5,"Best phone, best feature charge, best performance, I love this iPhone 16.",iPhone 16,Positive,0.9571,Positive,4.9142,Positive,0.9994850158691406,4.9979400634765625,1.0,Positive,5.0
5,Love the quality of pics it takes,iPhone 16,Positive,0.6369,Positive,4.2738,Positive,0.999875545501709,4.999502182006836,1.0,Positive,5.0
5,"Compact, easy to carry. Like it",iPhone 16,Positive,0.6597,Positive,4.3194,Positive,0.9998472929000854,4.999389171600342,1.0,Positive,5.0
5,iOS is always amazing.,iPhone 16,Positive,0.5859,Positive,4.1718,Positive,0.9998774528503418,4.999509811401367,1.0,Positive,5.0
5,Fell in love with the colour,iPhone 16,Positive,0.6369,Positive,4.2738,Positive,0.9984971284866333,4.993988513946533,1.0,Positive,5.0
4,Everything is fine except the battery should have been lasting longer and the new camera button Felt useless,iPhone 16,Positive,-0.25,Negative,2.5,Negative,0.0008906722068786621,1.0035626888275146,-1.0,Negative,1.0
5,Got it in just look awesome,iPhone 16,Positive,0.6249,Positive,4.2498000000000005,Positive,0.9998646974563599,4.9994587898254395,1.0,Positive,5.0
